stock,inpool_date,volume,inpool_price,toll_fees,outpool_date,outpool_price,margin
sh600585,2020-12-28,200,50.28,0,2020-12-29,51.23,190.0
sh600587,2020-12-28,1000,14.59,0,0,0.0,0.0
sh600600,2020-12-29,200,95.62,0,2020-12-30,99.67,810.0
sh600529,2020-12-30,300,49.51,0,0,0.0,0.0

