stock,act_day,act,target_price,sell_day,T2-sell,gain_percent,act_low,act_high,buy,at_price,EPOCH_R,sell,selling_price
sh600030,2020-12-31,buy,28.21230316162109,2021-01-03,28.950477018356324,0.03,0,0,0,0,100,0.0,0.0
sh600600,2020-12-31,buy,96.78064727783205,2021-01-03,101.07409832000731,0.04,0,0,0,0,100,0.0,0.0
sh600648,2020-12-31,buy,13.860136985778807,2021-01-03,14.100127449035645,0.02,0,0,0,0,100,0.0,0.0
sh600585,2020-12-31,buy,50.42081832885742,2021-01-03,51.95576982498169,0.03,0,0,0,0,100,0.0,0.0
sh600529,2020-12-31,buy,48.21515274047852,2021-01-03,51.167118911743174,0.06,0,0,0,0,100,0.0,0.0
sh600587,2020-12-31,buy,14.185587882995605,2021-01-03,14.38873908996582,0.01,0,0,0,0,100,0.0,0.0
sh600058,2020-12-31,buy,7.263932704925537,2021-01-03,7.409857544898987,0.02,0,0,0,0,100,0.0,0.0
sh600030,2020-12-31,buy,28.21230506896973,2021-01-03,28.950477018356324,0.03,0,0,0,0,100,0.0,0.0
sh600600,2020-12-31,buy,96.78064727783205,2021-01-03,101.07409832000731,0.04,0,0,0,0,100,0.0,0.0
sh600648,2020-12-31,buy,13.860136985778807,2021-01-03,14.100126500129699,0.02,0,0,0,0,100,0.0,0.0
sh600585,2020-12-31,buy,50.42081832885742,2021-01-03,51.95576982498169,0.03,0,0,0,0,100,0.0,0.0
sh600529,2020-12-31,buy,48.21514892578125,2021-01-03,51.167118911743174,0.06,0,0,0,0,100,0.0,0.0
sh600587,2020-12-31,buy,14.185587882995605,2021-01-03,14.38873908996582,0.01,0,0,0,0,100,0.0,0.0
sh600058,2020-12-31,buy,7.26393461227417,2021-01-03,7.409855647087097,0.02,0,0,0,0,100,0.0,0.0
sh600547,2020-12-31,buy,23.34164810180664,2021-01-03,23.947389402389533,0.03,0,0,0,0,100,0.0,0.0
sh600547,2020-12-31,buy,23.51578712463379,2021-01-03,23.808537893295288,0.01,0,0,0,0,100,0.0,0.0
