stock,fc_date,future_days,future_high,reachability,0.5%_off,uptonow_epochs
sh999999,2020-12-29,2,30.17901992797852,53.36,57.26,3
sh999999,2020-12-29,2,29.176597595214844,25.0,31.72,6
sh999999,2020-12-29,2,29.82941818237305,61.83,67.61,66
sh999999,2020-12-29,2,29.427776336669922,60.35,66.67,126
sh999999,2020-12-29,2,29.65616226196289,59.41,67.74,186
sh999999,2020-12-29,2,30.16285896301269,42.42,49.93,246
sh999999,2020-12-29,2,29.849262237548828,45.5,53.96,306
sh999999,2020-12-29,2,30.20277976989746,62.82,69.4,366
sh999999,2020-12-29,2,29.475961685180664,67.2,73.92,381
sh999999,2020-12-29,2,29.48396110534668,70.03,76.08,396
sh999999,2020-12-29,2,29.66164970397949,41.53,53.09,411
sh999999,2020-12-29,2,29.92742729187012,65.1,74.09,426
sh999999,2020-12-29,2,29.700061798095703,58.12,68.99,441
sh999999,2020-12-29,2,30.28194808959961,53.15,62.95,456
sh999999,2020-12-29,2,30.16862678527832,51.28,60.67,471
sh999999,2020-12-29,2,29.769275665283203,53.69,63.09,486
sh999999,2020-12-29,2,29.34988784790039,68.82,75.54,501
sh999999,2020-12-29,2,29.480728149414066,63.98,70.56,516
sh999999,2020-12-29,2,29.53301048278809,45.7,57.93,531
sh999999,2020-12-29,2,29.75924873352051,65.64,72.75,546
sh999999,2020-12-29,2,29.62504005432129,69.53,75.97,561
sh999999,2020-12-29,2,30.15970230102539,61.21,67.79,576
sh999999,2020-12-29,2,30.23163604736328,75.03,79.33,591
sh999999,2020-12-29,2,29.743637084960927,60.67,68.59,606
sh999999,2020-12-29,2,29.71345329284668,53.75,62.6,621
sh999999,2020-12-29,2,30.07494354248047,33.91,46.38,636
sh999999,2020-12-29,2,31.04118156433105,64.75,71.58,651
sh999999,2020-12-29,2,31.8886833190918,58.85,67.02,666
sh999999,2020-12-29,2,31.45111656188965,60.59,68.77,681
sh999999,2020-12-29,2,31.34377479553223,58.63,67.6,696
sh999999,2020-12-29,2,31.227785110473643,69.61,76.84,711
sh999999,2020-12-29,2,30.35975456237793,69.48,75.37,726
sh999999,2020-12-29,2,29.4953556060791,68.95,75.4,741
sh999999,2020-12-29,2,29.599292755126953,59.14,67.2,756
sh999999,2020-12-29,2,29.67093086242676,63.84,70.7,771
sh999999,2020-12-29,2,29.8116455078125,57.99,65.64,786
sh999999,2020-12-29,2,29.81692314147949,68.05,74.77,801
sh999999,2020-12-29,2,30.29500770568848,59.87,66.58,816
sh999999,2020-12-29,2,30.27288627624512,68.05,74.77,831
sh999999,2020-12-29,2,29.676671981811523,57.18,65.1,846
sh999999,2020-12-29,2,29.9644832611084,71.58,77.08,861
sh999999,2020-12-29,2,30.481365203857425,71.98,77.75,876
sh999999,2020-12-29,2,30.91790008544922,59.79,68.23,891
sh999999,2020-12-29,2,32.042484283447266,46.92,56.97,906
sh999999,2020-12-29,2,31.30978012084961,56.43,65.01,921
sh999999,2020-12-29,2,31.74593544006348,72.96,79.79,936
sh999999,2020-12-29,2,31.412355422973643,63.86,71.22,951
sh999999,2020-12-29,2,29.30657386779785,59.01,67.74,966
sh999999,2020-12-29,2,29.4117431640625,47.85,59.14,981
sh999999,2020-12-29,2,29.763957977294922,68.28,75.0,996
sh999999,2020-12-29,2,29.8564395904541,69.53,75.84,1011
sh999999,2020-12-29,2,29.58374786376953,59.87,67.92,1026
sh999999,2020-12-29,2,30.12936782836914,57.58,65.77,1041
sh999999,2020-12-29,2,30.602821350097656,60.67,68.86,1056
sh999999,2020-12-29,2,29.62883186340332,64.97,71.14,1071
sh999999,2020-12-29,2,29.96529197692871,57.1,65.28,1086
sh999999,2020-12-29,2,30.30772399902344,56.7,66.09,1101
sh999999,2020-12-29,2,30.79012489318848,51.74,60.32,1116
sh999999,2020-12-29,2,29.54542732238769,67.88,73.92,1176
sh999999,2020-12-29,2,29.40894317626953,52.96,63.98,1236
sh999999,2020-12-29,2,29.63008117675781,45.03,55.24,1296
sh999999,2020-12-29,2,29.99032592773437,59.33,65.91,1356
sh999999,2020-12-29,2,29.62570762634277,64.7,70.34,1416
sh999999,2020-12-29,2,29.88886642456055,47.65,57.72,1476
sh999999,2020-12-29,2,30.470705032348643,55.97,64.3,1536
sh999999,2020-12-29,2,29.51396751403809,41.48,52.35,1596
sh999999,2020-12-29,2,30.15121650695801,63.27,68.63,1656
sh999999,2020-12-29,2,30.10848045349121,60.99,67.96,1716
sh999999,2020-12-29,2,31.34669303894043,58.85,66.35,1776
sh999999,2020-12-29,2,32.04595947265625,55.63,64.75,1836
sh999999,2020-12-29,2,30.997039794921875,62.6,68.5,1896
sh999999,2020-12-29,2,31.59267425537109,73.23,77.38,1956
sh999999,2020-12-29,2,30.784337997436523,43.24,55.42,2016
sh999999,2020-12-29,2,30.53006172180176,53.55,63.99,2076
sh999999,2020-12-29,2,30.277990341186523,51.67,60.24,2136
sh999999,2020-12-29,2,30.122520446777344,53.95,64.12,2196
sh999999,2020-12-29,2,30.18583106994629,52.67,60.43,2256
sh999999,2020-12-29,2,29.30328941345215,49.06,58.82,2316
sh999999,2020-12-29,2,29.54481315612793,58.69,67.91,2376
sh999999,2020-12-29,2,29.08489799499512,49.73,58.96,2436
sh999999,2020-12-29,2,29.50029373168945,66.84,73.66,2496
sh999999,2020-12-29,2,29.82678031921387,71.56,76.77,2556
sh999999,2020-12-29,2,29.58059310913086,64.62,73.16,2616
sh999999,2020-12-29,2,29.55969619750977,48.2,58.48,2676
sh999999,2020-12-29,2,28.825157165527344,72.9,77.84,2736
sh999999,2020-12-29,2,28.572134017944336,49.53,59.81,2796
sh999999,2020-12-29,2,28.52031326293945,51.2,61.47,2856
sh999999,2020-12-29,2,29.816858291625977,70.97,75.81,2886
sh999999,2020-12-29,2,29.685142517089844,70.3,76.88,2916
sh999999,2020-12-29,2,29.661439895629893,62.1,69.35,2946
sh999999,2020-12-29,2,30.152597427368164,64.3,71.54,2976
sh999999,2020-12-29,2,29.97580909729004,72.48,78.93,3006
sh999999,2020-12-29,2,30.3392391204834,35.7,43.76,3036
sh999999,2020-12-29,2,29.74462509155273,72.04,77.42,3066
sh999999,2020-12-29,2,29.71413993835449,70.03,76.75,3096
sh999999,2020-12-29,2,29.64376449584961,64.65,71.1,3126
sh999999,2020-12-29,2,29.88955116271973,53.69,64.3,3156
sh999999,2020-12-29,2,29.50948905944824,70.43,76.21,3186
sh999999,2020-12-29,2,29.48195075988769,44.09,55.65,3216
sh999999,2020-12-29,2,29.642675399780273,68.01,75.13,3246
sh999999,2020-12-29,2,29.811147689819336,52.21,62.55,3276
sh999999,2020-12-29,2,30.02311897277832,72.89,78.79,3306
sh999999,2020-12-29,2,30.26270294189453,38.52,47.92,3336
sh999999,2020-12-29,2,30.31007575988769,38.12,49.66,3366
sh999999,2020-12-29,2,29.72085952758789,70.87,76.11,3396
sh999999,2020-12-29,2,29.96889686584473,58.18,65.95,3426
sh999999,2020-12-29,2,30.32126045227051,58.18,65.95,3456
sh999999,2020-12-29,2,31.34346580505371,65.15,71.58,3486
sh999999,2020-12-29,2,31.75847625732422,57.24,65.01,3516
sh999999,2020-12-29,2,31.343448638916016,67.02,74.13,3546
sh999999,2020-12-29,2,31.57723426818848,58.77,67.34,3576
sh999999,2020-12-29,2,29.785268783569336,77.42,81.72,3606
sh999999,2020-12-29,2,29.745738983154297,77.55,81.45,3636
sh999999,2020-12-29,2,29.776519775390625,57.66,64.65,3666
sh999999,2020-12-29,2,29.410314559936523,59.41,68.15,3696
sh999999,2020-12-29,2,29.78600311279297,67.34,73.92,3726
sh999999,2020-12-29,2,29.58518028259277,53.76,61.42,3756
sh999999,2020-12-29,2,29.75224876403809,38.79,49.8,3786
sh999999,2020-12-29,2,29.97879981994629,78.52,82.01,3816
sh999999,2020-12-29,2,30.50360107421875,62.95,69.93,3846
sh999999,2020-12-29,2,30.25518035888672,63.36,71.68,3876
