stock,act_day,act,target_price,sell_day,T2-sell,gain_percent,act_low,act_high,buy,at_price,EPOCH_R,sell,selling_price,act_low_dif
sh600030,2021-01-08,buy,29.073760986328125,2021-01-11,30.11325877189636,0.04,29.61,30.53,0,0.0,150,0.0,0.0,-0.54
sh600600,2021-01-08,buy,104.6816864013672,2021-01-11,109.39021133422852,0.04,103.9,110.3,0,104.6816864013672,150,0.0,0.0,0.78
sh600648,2021-01-08,buy,13.625791549682615,2021-01-11,13.961775064468384,0.02,13.91,14.2,0,0.0,150,0.0,0.0,-0.28
sh600585,2021-01-08,buy,54.47573471069336,2021-01-11,55.275160484313965,0.01,55.16,56.68,0,0.0,150,0.0,0.0,-0.68
sh600529,2021-01-08,buy,44.9022102355957,2021-01-11,46.58855283737183,0.04,44.87,45.82,0,44.9022102355957,150,0.0,0.0,0.03
sh600587,2021-01-08,buy,14.003033638000488,2021-01-11,14.449184398651123,0.03,13.46,13.92,0,14.003033638000488,150,0.0,0.0,0.54
sh600685,2021-01-08,buy,31.104656219482425,2021-01-11,34.023838710784915,0.09,30.88,33.88,0,31.104656219482425,150,0.0,0.0,0.22
sh600655,2021-01-08,buy,12.275813102722168,2021-01-11,13.069862308502197,0.06,12.45,14.32,0,0.0,150,0.0,0.0,-0.17
sz002304,2021-01-08,buy,243.52279663085935,2021-01-11,254.37007385253904,0.04,241.0,261.54,0,243.52279663085935,150,0.0,0.0,2.52
sh603589,2021-01-08,buy,69.89792633056639,2021-01-11,73.93099296569824,0.06,70.1,74.81,0,0.0,150,0.0,0.0,-0.2
sh600305,2021-01-08,buy,23.45873069763184,2021-01-11,24.476081838607787,0.04,23.6,25.08,0,0.0,150,0.0,0.0,-0.14
sh600058,2021-01-08,buy,7.251399517059326,2021-01-11,7.362389948368072,0.02,6.72,7.12,0,7.251399517059326,150,0.0,0.0,0.53
sh600547,2021-01-08,buy,24.34772491455078,2021-01-11,25.084349527359013,0.03,24.02,24.46,0,24.34772491455078,150,0.0,0.0,0.33
sz300778,2021-01-08,buy,25.249666213989247,2021-01-11,25.581282081604005,0.01,23.73,25.12,0,25.249666213989247,150,0.0,0.0,1.52
sh600298,2021-01-08,buy,56.80752563476562,2021-01-11,59.78317729949951,0.05,55.79,59.35,0,56.80752563476562,150,0.0,0.0,1.02
sh600211,2021-01-08,buy,66.36937713623047,2021-01-11,68.71379421234131,0.04,65.4,67.66,0,66.36937713623047,150,0.0,0.0,0.97
sz002399,2021-01-08,buy,16.727754592895508,2021-01-11,17.284376821517945,0.03,16.57,17.22,0,16.727754592895508,150,0.0,0.0,0.16
sz000729,2021-01-08,buy,7.782015800476074,2021-01-11,7.973225851058959,0.02,7.76,8.05,0,7.782015800476074,150,0.0,0.0,0.02
sz002664,2021-01-08,buy,13.747934341430664,2021-01-11,14.126142654418944,0.03,13.5,14.32,0,13.747934341430664,150,0.0,0.0,0.25
