stock,fc_date,t+1_low,reachability,t+1_low+0.5%,reachability2,df_epochs,t+2_high,t+2_high.1,reality,t+2_high*99.5%,reality_2,ht_epochs
sh600030,2021-01-05,28.64,44.74,28.79,56.72,200,29.49,,55.53,29.34,65.25,300
sh600600,2021-01-05,102.75,60.72,103.26,69.51,200,109.67,,62.72,109.12,72.04,300
sh600648,2021-01-05,13.67,58.61,13.74,68.72,200,13.91,,57.1,13.84,65.3,300
sh600585,2021-01-05,51.12,60.95,51.38,70.18,200,52.46,,55.8,52.2,66.49,300
sh600529,2021-01-05,46.14,54.52,46.37,63.7,200,48.24,,55.59,48.0,64.36,300
sh600587,2021-01-05,14.0,71.41,14.07,77.84,200,14.57,,54.45,14.5,65.25,300
sh600685,2021-01-05,27.63,51.5,27.77,58.8,200,29.36,,59.66,29.21,67.38,300
sz002304,2021-01-05,246.97,44.82,248.2,56.12,200,258.52,,55.18,257.23,67.04,300
sh603589,2021-01-05,71.41,55.0,71.76,68.46,200,76.53,,55.77,76.15,64.62,300
sh600305,2021-01-05,23.3,55.22,23.41,66.05,200,24.31,,49.8,24.19,60.9,300
sh600058,2021-01-05,7.37,59.42,7.41,68.98,200,7.55,,57.89,7.51,68.01,300
sh600547,2021-01-05,24.7,49.65,24.83,59.5,200,25.18,,50.07,25.06,57.28,300
sh600030,2021-01-05,28.73,50.73,28.88,61.65,300,29.44,,68.04,29.3,72.44,750
sh600600,2021-01-05,104.33,58.46,104.85,69.91,300,109.73,,61.92,109.18,71.77,750
sh600648,2021-01-05,13.66,46.31,13.73,57.79,300,13.92,,56.69,13.85,65.3,750
sh600585,2021-01-05,50.93,56.99,51.19,67.28,300,52.32,,63.32,52.05,73.22,750
sh600529,2021-01-05,45.11,52.53,45.34,64.49,300,47.36,,59.71,47.12,68.75,750
sh600587,2021-01-05,14.36,47.2,14.43,55.27,300,14.6,,54.04,14.53,64.43,750
sh600685,2021-01-05,28.25,48.07,28.39,56.94,300,30.17,,57.51,30.02,66.67,750
sz002304,2021-01-05,248.92,58.38,250.17,69.11,300,259.84,,49.34,258.54,60.45,750
sh603589,2021-01-05,71.47,50.0,71.82,62.69,300,76.69,,56.54,76.31,67.31,750
sh600305,2021-01-05,23.27,63.28,23.39,70.67,300,24.12,,57.2,24.0,68.56,750
sh600058,2021-01-05,7.45,39.34,7.48,48.06,300,7.47,,48.75,7.43,57.62,750
sh600547,2021-01-05,24.42,55.62,24.54,64.77,300,25.31,,49.38,25.18,56.87,750
sz300778,2021-01-05,26.12,58.33,26.25,66.67,300,27.27,,51.39,27.14,63.89,450
sz300778,2021-01-05,26.06,51.95,26.19,61.04,300,26.32,,42.86,26.18,59.74,900
sh600298,2021-01-05,55.03,70.73,55.3,76.56,300,57.55,,54.97,57.26,63.31,450
sh600211,2021-01-05,67.66,48.27,68.0,57.12,300,71.92,,52.14,71.56,59.61,450
sz002399,2021-01-05,17.69,53.68,17.77,63.2,300,17.92,,66.45,17.83,72.73,450
sz000729,2021-01-05,8.42,56.86,8.46,68.87,300,8.81,,54.75,8.77,66.36,450
