stock,fc_date,t+1_low,reachability,t+1_low+0.5%,reachability2,df_epochs,t+2_high,t+2_high.1,reality,t+2_high*99.5%,reality_2,ht_epochs
sh600030,2021-01-07,29.07,48.34,29.22,57.66,300,30.26,,54.99,30.11,63.91,450
sh600600,2021-01-07,104.68,58.51,105.21,69.68,300,109.94,,63.56,109.39,73.4,450
sh600648,2021-01-07,13.63,55.87,13.69,67.08,300,14.03,,60.93,13.96,68.99,450
sh600585,2021-01-07,54.48,50.72,54.75,62.45,300,55.55,,66.27,55.28,74.04,450
sh600529,2021-01-07,44.9,64.89,45.13,73.8,300,46.82,,60.9,46.59,70.61,450
sh600587,2021-01-07,14.0,55.19,14.07,63.66,300,14.52,,58.06,14.45,65.16,450
sh600685,2021-01-07,31.1,47.07,31.26,55.22,300,34.19,,64.81,34.02,72.25,450
sh600230,2021-01-07,8.81,41.96,8.85,52.55,300,8.81,,47.18,8.77,56.7,450
sh600655,2021-01-07,12.28,54.23,12.34,65.6,300,13.14,,61.52,13.07,71.57,450
sz002304,2021-01-07,243.52,53.2,244.74,65.98,300,255.65,,57.89,254.37,68.42,450
sh603589,2021-01-07,69.9,58.46,70.25,69.23,300,74.3,,57.69,73.93,68.46,450
sh600305,2021-01-07,23.46,65.79,23.58,71.86,300,24.6,,59.45,24.48,67.37,450
sh600058,2021-01-07,7.25,53.74,7.29,63.3,300,7.4,,53.05,7.36,61.77,450
sh600547,2021-01-07,24.35,58.73,24.47,66.2,300,25.21,,65.24,25.08,70.36,450
sz300778,2021-01-07,25.25,56.94,25.38,63.89,300,25.71,,48.61,25.58,55.56,450
sh600298,2021-01-07,56.81,62.25,57.09,70.46,300,60.08,,55.36,59.78,64.64,450
sh600211,2021-01-07,66.37,60.58,66.7,66.8,300,69.06,,60.72,68.71,69.99,450
sz002399,2021-01-07,16.73,66.23,16.81,73.81,300,17.37,,69.7,17.28,76.19,450
sz000729,2021-01-07,7.78,42.29,7.82,56.79,300,8.01,,67.46,7.97,74.18,450
sz002664,2021-01-07,13.75,61.01,13.82,69.5,300,14.2,,61.01,14.13,67.11,450
