stock,fc_date,t+1_low,reachability,t+1_low+0.5%,reachability2,df_epochs,t+2_high,t+2_high.1,reality,t+2_high*99.5%,reality_2,ht_epochs
sh600030,2021-01-08,29.25,65.56,29.4,75.13,300,30.4,,41.76,30.25,55.05,450
sh600600,2021-01-08,101.86,59.84,102.37,71.14,300,108.0,,64.89,107.46,73.94,450
sh600648,2021-01-08,13.8,56.48,13.87,65.89,300,14.28,,63.71,14.21,72.31,450
sh600585,2021-01-08,55.95,47.96,56.23,59.03,300,56.49,,60.74,56.21,70.22,450
sh600585,2021-01-08,55.3,57.31,55.57,67.98,300,56.73,,55.2,56.45,65.48,900
sh600587,2021-01-08,13.38,59.7,13.44,67.35,300,13.79,,56.83,13.72,64.89,450
sh600685,2021-01-08,31.45,40.43,31.6,51.71,300,34.44,,49.14,34.27,56.57,450
sh600230,2021-01-08,8.38,54.16,8.42,63.67,300,8.73,,57.51,8.69,66.89,450
sh600655,2021-01-08,13.43,55.54,13.5,65.6,300,15.12,,66.91,15.05,73.62,450
sz002304,2021-01-08,237.93,52.44,239.12,63.16,300,250.12,,59.77,248.87,67.11,450
sh603589,2021-01-08,68.67,63.46,69.01,75.0,300,72.96,,57.69,72.6,67.69,450
sh600305,2021-01-08,23.23,67.24,23.34,73.18,300,24.69,,57.07,24.57,66.31,450
sh600058,2021-01-08,6.92,50.28,6.96,58.03,300,7.0,,53.19,6.96,61.08,450
sh600547,2021-01-08,23.88,50.69,24.0,58.31,300,24.53,,58.03,24.41,63.57,450
sz300778,2021-01-08,24.76,62.5,24.89,66.67,300,25.51,,50.0,25.38,62.5,450
sz300778,2021-01-08,24.02,65.28,24.14,72.22,300,25.54,,48.61,25.41,56.94,900
sh600298,2021-01-08,55.85,60.26,56.13,69.54,300,58.8,,62.25,58.51,69.93,450
sh600211,2021-01-08,63.83,64.18,64.14,72.61,300,67.63,,74.41,67.29,79.53,450
sz002399,2021-01-08,16.99,26.19,17.07,33.98,300,16.69,,50.87,16.61,61.04,450
sz000729,2021-01-08,7.65,56.52,7.68,69.43,300,7.96,,55.07,7.92,67.46,450
sz002664,2021-01-08,13.44,61.54,13.51,68.17,300,13.97,,61.54,13.9,69.5,450
