stock,fc_date,future_days,future_high,reachability,0.5%_off,uptonow_epochs
sh600030,2020-12-27,2,28.43531990051269,51.87,61.47,400
sh600600,2020-12-27,2,101.4951629638672,56.67,67.33,400
sh600846,2020-12-27,2,8.237705230712889,56.41,65.92,400
sh600585,2020-12-27,2,51.8416862487793,69.75,75.56,400
sh601229,2020-12-27,2,7.936097621917725,52.36,73.82,400
sh600529,2020-12-27,2,51.24859619140625,58.32,69.77,400
sh600547,2020-12-27,2,24.102642059326172,63.06,70.56,400
sh600587,2020-12-27,2,14.93752384185791,48.63,58.63,400
sh600030,2020-12-27,2,28.360143661499023,43.6,54.8,800
sh600600,2020-12-27,2,102.09904479980469,60.4,72.4,800
sh600846,2020-12-27,2,8.23358154296875,57.2,65.39,800
sh600585,2020-12-27,2,51.72824478149414,53.9,64.2,800
sh601229,2020-12-27,2,7.944105625152588,49.74,70.68,800
sh600529,2020-12-27,2,51.06364440917969,60.45,69.37,800
sh600547,2020-12-27,2,23.54649543762207,50.0,56.11,800
sh600587,2020-12-27,2,15.023240089416506,56.99,66.85,800
sh600030,2020-12-27,2,28.345874786376953,68.93,75.47,1200
sh600600,2020-12-27,2,99.1280517578125,66.67,75.73,1200
sh600846,2020-12-27,2,8.245762825012207,59.31,66.97,1200
sh600585,2020-12-27,2,51.77508163452149,58.92,69.09,1200
sh601229,2020-12-27,2,7.931794166564941,51.31,72.77,1200
sh600529,2020-12-27,2,51.05996322631836,56.32,68.18,1200
sh600547,2020-12-27,2,24.22499084472656,68.75,74.44,1200
sh600587,2020-12-27,2,14.996047019958494,49.86,60.55,1200
sh600030,2020-12-27,2,28.3067684173584,68.53,76.4,1600
sh999999,2020-12-27,2,29.140100479125977,43.28,54.3,90
sh999999,2020-12-27,2,29.60495567321777,65.99,75.67,180
sh999999,2020-12-27,2,29.42221069335937,33.87,46.77,270
sh999999,2020-12-27,2,29.74199867248535,56.05,66.13,360
sh999999,2020-12-27,2,29.676544189453125,52.75,62.68,450
sh999999,2020-12-27,2,29.56658172607422,50.47,60.27,540
sh999999,2020-12-27,2,30.13847732543945,48.59,59.87,630
sh999999,2020-12-27,2,30.278308868408203,54.36,62.95,720
sh999999,2020-12-27,2,29.44126319885254,74.09,77.85,810
sh999999,2020-12-27,2,28.921674728393555,63.58,70.16,870
sh999999,2020-12-27,2,29.569522857666016,55.91,63.58,930
sh999999,2020-12-27,2,29.535991668701172,58.6,67.34,990
sh999999,2020-12-27,2,29.56726455688477,53.36,63.98,1050
sh999999,2020-12-27,2,29.72272872924805,47.38,56.91,1110
sh999999,2020-12-27,2,29.64743804931641,66.17,74.23,1170
sh999999,2020-12-27,2,30.15788269042969,53.56,63.22,1230
sh999999,2020-12-27,2,30.1292724609375,66.71,73.15,1290
sh999999,2020-12-27,2,29.1820011138916,77.42,80.65,1320
sh999999,2020-12-27,2,29.56985855102539,67.34,73.92,1350
sh999999,2020-12-27,2,29.543764114379893,70.3,77.02,1380
sh999999,2020-12-27,2,29.03651237487793,64.25,71.51,1410
sh999999,2020-12-27,2,29.45307731628418,66.13,74.19,1440
sh999999,2020-12-27,2,29.986013412475586,71.77,77.42,1470
sh999999,2020-12-27,2,29.48290061950684,62.1,69.76,1500
sh999999,2020-12-27,2,30.170772552490234,61.07,68.59,1530
sh999999,2020-12-27,2,29.070409774780273,36.02,45.7,1560
sh999999,2020-12-27,2,29.39979362487793,41.53,53.23,1590
sh999999,2020-12-27,2,29.53362274169922,43.28,54.57,1620
sh999999,2020-12-27,2,29.52257537841797,47.72,59.68,1650
sh999999,2020-12-27,2,29.74971580505371,51.01,59.19,1680
sh999999,2020-12-27,2,29.73269844055176,64.03,71.28,1710
sh999999,2020-12-27,2,30.278017044067386,62.15,70.34,1740
sh999999,2020-12-27,2,30.220521926879893,46.58,56.64,1770
sh999999,2020-12-27,2,29.632732391357425,45.37,53.96,1800
sh999999,2020-12-27,2,29.810138702392567,63.0,71.45,1830
sh999999,2020-12-27,2,30.211713790893555,63.54,71.18,1860
sh999999,2020-12-27,2,31.18844223022461,52.41,61.26,1890
sh999999,2020-12-27,2,32.091819763183594,63.0,70.64,1920
sh999999,2020-12-27,2,31.36298942565918,52.82,62.73,1950
sh999999,2020-12-27,2,31.23338508605957,55.56,66.0,1980
sh999999,2020-12-27,2,30.744304656982425,55.56,67.07,2010
sh999999,2020-12-27,2,30.66080474853516,55.56,65.06,2040
sh999999,2020-12-27,2,30.15175819396973,37.75,54.08,2070
sh999999,2020-12-27,2,29.82643318176269,49.0,58.63,2100
sh999999,2020-12-27,2,29.81046485900879,54.14,62.57,2130
sh999999,2020-12-27,2,29.07631683349609,37.57,48.26,2160
sh999999,2020-12-27,2,29.49115753173828,45.19,53.61,2190
sh999999,2020-12-27,2,29.1879997253418,56.28,65.24,2220
sh999999,2020-12-27,2,29.22570991516113,50.53,59.76,2250
sh999999,2020-12-27,2,29.71730613708496,41.79,52.6,2280
sh999999,2020-12-27,2,29.533828735351562,65.82,73.3,2310
