stock,fc_date,t+1_low,reachability,t+1_low+0.5%,reachability2,df_epochs,t+2_high,t+2_high.1,reality,t+2_high*99.5%,reality_2,ht_epochs
sh600030,2020-12-27,27.34000015258789,45.73,27.48,57.07,250,28.440000534057607,,51.87,28.29,61.47,400
sh600600,2020-12-27,96.77999877929688,62.4,97.26,71.47,250,101.5,,56.67,100.99,67.33,400
sh600846,2020-12-27,8.069999694824219,53.24,8.11,63.8,250,8.239999771118164,,56.41,8.2,65.92,400
sh600585,2020-12-27,50.34000015258789,46.76,50.59,57.6,250,51.84000015258789,,69.75,51.58,75.56,400
sh601229,2020-12-27,7.920000076293945,60.73,7.96,67.54,250,7.940000057220459,,52.36,7.9,73.82,400
sh600529,2020-12-27,47.68000030517578,60.19,47.92,70.44,250,51.25,,58.32,50.99,69.77,400
sh600547,2020-12-27,23.13999938964844,58.89,23.25,67.08,250,24.10000038146973,,63.06,23.98,70.56,400
sh600587,2020-12-27,14.579999923706055,56.03,14.65,64.52,250,14.9399995803833,,48.63,14.86,58.63,400
sh600030,2020-12-27,27.38999938964844,60.27,27.53,69.07,250,28.36000061035156,,43.6,28.22,54.8,800
sh600600,2020-12-27,96.22000122070312,49.6,96.7,60.4,250,102.0999984741211,,60.4,101.59,72.4,800
sh600846,2020-12-27,8.069999694824219,52.05,8.11,62.09,250,8.229999542236326,,57.2,8.19,65.39,800
sh600585,2020-12-27,50.599998474121094,55.61,50.85,65.79,250,51.72999954223633,,53.9,51.47,64.2,800
sh601229,2020-12-27,7.900000095367432,62.3,7.94,74.87,250,7.940000057220459,,49.74,7.9,70.68,800
sh600529,2020-12-27,48.599998474121094,64.71,48.84,72.7,250,51.06000137329102,,60.45,50.81,69.37,800
sh600547,2020-12-27,23.09000015258789,59.17,23.2,65.83,250,23.54999923706055,,50.0,23.43,56.11,800
sh600587,2020-12-27,14.6899995803833,43.97,14.76,55.75,250,15.020000457763672,,56.99,14.95,66.85,800
sh600030,2020-12-27,27.22,60.67,27.36,70.93,250,28.35,,68.93,28.2,75.47,1200
sh600600,2020-12-27,95.63,65.6,96.1,75.87,250,99.13,,66.67,98.63,75.73,1200
sh600846,2020-12-27,8.07,54.95,8.11,65.13,250,8.25,,59.31,8.2,66.97,1200
sh600585,2020-12-27,50.29,56.27,50.54,67.9,250,51.78,,58.92,51.52,69.09,1200
sh601229,2020-12-27,7.93,59.69,7.97,70.68,250,7.93,,51.31,7.89,72.77,1200
sh600529,2020-12-27,48.32,51.53,48.57,60.85,250,51.06,,56.32,50.8,68.18,1200
sh600547,2020-12-27,23.35,44.17,23.47,53.33,250,24.22,,68.75,24.1,74.44,1200
sh600587,2020-12-27,14.42,67.4,14.49,73.84,250,15.0,,49.86,14.92,60.55,1200
sh600030,2020-12-27,27.33,68.53,27.47,76.8,250,28.31,,68.53,28.17,76.4,1600
