stock,fc_date,t+1_low,reachability,t+1_low+0.5%,reachability2,df_epochs,t+2_high,t+2_high.1,reality,t+2_high*99.5%,reality_2,ht_epochs
sh600030,2020-12-29,26.29,92.0,26.42,92.67,2,27.33,,6.8,27.19,8.0,3
sh600600,2020-12-29,99.63,34.35,100.13,41.15,2,103.96,,53.26,103.44,59.12,3
sh600648,2020-12-29,14.27,26.13,14.34,30.78,2,14.72,,73.19,14.65,76.47,3
sh600585,2020-12-29,50.14,41.22,50.39,44.78,2,53.16,,76.49,52.89,78.86,3
sh600529,2020-12-29,48.86,13.32,49.1,16.11,2,51.67,,80.83,51.42,83.22,3
sh600547,2020-12-29,23.14,55.97,23.25,60.14,2,24.41,,63.47,24.28,66.39,3
sh600030,2020-12-29,27.78,54.4,27.92,65.6,200,28.61,,60.0,28.46,67.73,303
sh600600,2020-12-29,96.44,60.72,96.92,70.71,200,100.2,,65.51,99.7,73.9,303
sh600648,2020-12-29,13.6,58.55,13.67,65.94,200,14.15,,67.17,14.08,73.87,303
sh600585,2020-12-29,50.61,56.54,50.86,66.18,200,52.45,,58.52,52.19,66.84,303
sh600529,2020-12-29,49.74,56.32,49.99,65.51,200,52.24,,63.52,51.97,71.37,303
sh600547,2020-12-29,23.14,55.83,23.25,63.75,200,23.7,,49.03,23.58,57.64,303
sh600587,2020-12-29,14.04,54.52,14.11,62.88,200,14.51,,59.04,14.44,69.59,300
sh600058,2020-12-29,7.04,44.24,7.07,55.34,200,7.18,,52.57,7.14,59.5,300
sh600030,2020-12-29,27.7,54.0,27.84,63.07,200,28.77,,66.4,28.63,74.0,603
sh600600,2020-12-29,96.33,65.11,96.81,74.3,200,100.16,,58.19,99.66,69.77,603
sh600648,2020-12-29,13.73,48.7,13.8,59.78,200,14.14,,65.12,14.07,72.23,603
sh600585,2020-12-29,50.78,59.05,51.04,68.43,200,52.26,,57.2,52.0,64.6,603
sh600529,2020-12-29,49.49,53.13,49.74,63.25,200,52.63,,51.93,52.37,62.18,603
sh600547,2020-12-29,23.49,37.92,23.61,48.75,200,23.7,,58.19,23.58,63.19,603
sh600587,2020-12-29,14.2,42.88,14.27,52.6,200,14.48,,48.08,14.41,60.68,600
sh600058,2020-12-29,6.87,58.25,6.9,66.85,200,7.09,,44.52,7.05,53.12,600
sh600547,2020-12-29,23.13,59.03,23.25,68.33,200,24.05,,65.56,23.93,71.94,903
