stock,fc_date,t+1_low,reachability,t+1_low+0.5%,reachability2,df_epochs,t+2_high,t+2_high.1,reality,t+2_high*99.5%,reality_2,ht_epochs
sh600030,2020-12-26,27.34000015258789,50.27,27.48,59.6,700,28.489999771118164,,58.0,28.35,67.33,300
sh600600,2020-12-26,96.33000183105469,58.93,96.82,68.4,500,100.11000061035156,,55.87,99.6,64.8,300
sh600846,2020-12-26,8.069999694824219,52.97,8.11,62.35,500,8.25,,58.92,8.21,68.03,300
sh600585,2020-12-26,50.61999893188477,60.9,50.87,70.94,500,52.040000915527344,,61.43,51.78,69.48,300
sh601229,2020-12-26,7.940000057220459,60.73,7.98,69.11,500,7.920000076293945,,32.46,7.88,52.88,300
sh600529,2020-12-26,48.61000061035156,63.38,48.85,72.44,500,50.88000106811523,,61.52,50.62,70.31,300
sh600547,2020-12-26,23.290000915527344,50.83,23.41,58.33,500,24.09000015258789,,59.44,23.97,67.5,300
sh600587,2020-12-26,14.550000190734863,60.27,14.62,69.04,500,15.069999694824219,,58.49,15.0,66.71,300
