stock,fc_date,future_days,future_high,reachability,0.5%_off,uptonow_epochs
sh600030,2021-01-07,2,30.26458168029785,54.99,63.91,450
sh600600,2021-01-07,2,109.93991088867188,63.56,73.4,450
sh600648,2021-01-07,2,14.03193473815918,60.93,68.99,450
sh600585,2021-01-07,2,55.55292510986328,66.27,74.04,450
sh600529,2021-01-07,2,46.82266616821289,60.9,70.61,450
sh600587,2021-01-07,2,14.521793365478516,58.06,65.16,450
sh600685,2021-01-07,2,34.194812774658196,64.81,72.25,450
sh600230,2021-01-07,2,8.814905166625977,47.18,56.7,450
sh600655,2021-01-07,2,13.135540008544922,61.52,71.57,450
sz002304,2021-01-07,2,255.6483154296875,57.89,68.42,450
sh603589,2021-01-07,2,74.30250549316406,57.69,68.46,450
sh600305,2021-01-07,2,24.599077224731445,59.45,67.37,450
sh600058,2021-01-07,2,7.399386882781982,53.05,61.77,450
sh600547,2021-01-07,2,25.21040153503418,65.24,70.36,450
sz300778,2021-01-07,2,25.70983123779297,48.61,55.56,450
sh600298,2021-01-07,2,60.0835952758789,55.36,64.64,450
sh600211,2021-01-07,2,69.05908966064453,60.72,69.99,450
sz002399,2021-01-07,2,17.371232986450195,69.7,76.19,450
sz000729,2021-01-07,2,8.01329231262207,67.46,74.18,450
sz002664,2021-01-07,2,14.197128295898438,61.01,67.11,450
