stock,act_day,act,target_price,sell_day,T2-sell,gain_percent,act_low,act_high,buy,at_price,EPOCH_R,act_low_dif,T2_high,sell,selling_price
sh600585,2020-12-28,buy,50.28862137,2020-12-29,51.516206226348885,0.01781157665836762,50.02,51.19,200,50.28,50,0.27,51.97,0,0
sh600529,2020-12-28,buy,48.59950638,2020-12-29,50.80466341018678,0.04340461843793305,49.41,52.45,0,0,50,-0.81,53.14,0,0
sh600547,2020-12-28,buy,23.08938980000001,2020-12-29,24.10386589050293,0.04208769228601781,23.5,23.96,0,0,50,-0.41,23.51,0,0
sh600587,2020-12-28,buy,14.68869686,2020-12-29,14.921066784858706,0.015573278252095556,14.4,14.88,1000,14.59,50,0.29,14.5,0,0
sh600030,2020-12-28,buy,27.22088814,2020-12-29,28.16523457527161,0.03352879709728124,27.77,28.26,0,0,50,-0.55,28.52,0,0
sh600600,2020-12-28,buy,95.62567902,2020-12-29,98.63241149902343,0.030484223525784893,96.28,100.0,0,0,50,-0.65,99.58,0,0
