stock,fc_date,future_days,future_price,buy_acc_rate,uptonow_epochs
sh600600,2020-12-25,10,99.8924560546875,0.8586118251928021,500
sh600846,2020-12-25,10,9.046612739562988,0.9383886255924172,500
sh600585,2020-12-25,10,56.78067398071289,0.8357843137254902,500
sh601229,2020-12-25,10,7.6968727111816415,0.8260869565217391,500
sh600529,2020-12-25,10,47.801918029785156,0.6776470588235294,500
sh600547,2020-12-25,10,24.54857063293457,0.7978723404255319,500
sh600587,2020-12-25,10,14.99545192718506,0.6881188118811881,500
sh600058,2020-12-25,10,6.838696479797362,0.8735955056179775,500
sh600448,2020-12-25,10,3.8812558650970463,0.8031496062992126,500
sh600600,2020-12-25,10,102.53236389160156,0.5625,501
sh600846,2020-12-25,10,7.863818645477295,0.41626794258373206,501
sh600585,2020-12-25,10,50.7125244140625,0.22988505747126436,501
sh601229,2020-12-25,10,7.859776496887207,0.40229885057471265,501
sh600529,2020-12-25,10,49.34990692138672,0.9140811455847255,501
sh600547,2020-12-25,10,28.013418197631836,0.9378378378378378,501
sh600587,2020-12-25,10,16.00447654724121,0.8341836734693877,501
sh600058,2020-12-25,10,6.913969039916992,0.23013698630136986,501
sh600448,2020-12-25,10,3.857151746749878,0.5657894736842105,501
