stock,fc_date,future_days,future_high,reachability,0.5%_off,uptonow_epochs
sh600685,2020-12-31,2,24.82740592956543,55.59,61.89,300
sh600030,2020-12-31,2,29.880573272705078,56.86,64.98,300
sh600600,2020-12-31,2,101.21916961669922,62.72,72.3,300
sh600648,2020-12-31,2,14.32757568359375,73.77,77.6,300
sh600585,2020-12-31,2,52.45639419555664,56.6,66.36,300
sh600529,2020-12-31,2,51.63914108276367,58.46,66.58,300
sh600587,2020-12-31,2,14.661975860595705,64.98,72.23,300
sh600685,2020-12-31,2,27.20452117919922,48.64,56.65,600
sh600058,2020-12-31,2,7.756026268005371,72.12,77.25,300
sh600547,2020-12-31,2,24.78037452697754,65.88,71.84,300
