stock,fc_date,future_days,future_high,reachability,0.5%_off,uptonow_epochs
sh600030,2021-01-08,2,30.400373458862305,41.76,55.05,450
sh600600,2021-01-08,2,107.9994659423828,64.89,73.94,450
sh600648,2021-01-08,2,14.27785587310791,63.71,72.31,450
sh600585,2021-01-08,2,56.4903335571289,60.74,70.22,450
sh600585,2021-01-08,2,56.73278045654297,55.2,65.48,900
sh600587,2021-01-08,2,13.792400360107422,56.83,64.89,450
sh600685,2021-01-08,2,34.440616607666016,49.14,56.57,450
sh600230,2021-01-08,2,8.73286247253418,57.51,66.89,450
sh600655,2021-01-08,2,15.12259292602539,66.91,73.62,450
sz002304,2021-01-08,2,250.1224670410156,59.77,67.11,450
sh603589,2021-01-08,2,72.96186828613281,57.69,67.69,450
sh600305,2021-01-08,2,24.68891143798828,57.07,66.31,450
sh600058,2021-01-08,2,6.997163772583008,53.19,61.08,450
sh600547,2021-01-08,2,24.528757095336914,58.03,63.57,450
sz300778,2021-01-08,2,25.50674247741699,50.0,62.5,450
sz300778,2021-01-08,2,25.53795623779297,48.61,56.94,900
sh600298,2021-01-08,2,58.801536560058594,62.25,69.93,450
sh600211,2021-01-08,2,67.62994384765625,74.41,79.53,450
sz002399,2021-01-08,2,16.69045066833496,50.87,61.04,450
sz000729,2021-01-08,2,7.962930202484131,55.07,67.46,450
sz002664,2021-01-08,2,13.965669631958008,61.54,69.5,450
