stock,fc_date,future_days,future_price,buy_acc_rate,uptonow_epochs
sh600600,2020-12-24,10,110.17174530029295,0.7603911980440098,5
sh600846,2020-12-24,10,8.520049095153809,0.812933025404157,5
sh600585,2020-12-24,10,50.62355422973633,0.36038186157517893,5
sh601229,2020-12-24,10,7.9705634117126465,0.6363636363636364,5
sh600529,2020-12-24,10,46.70729446411133,0.3962264150943397,5
sh600547,2020-12-24,10,25.611391067504886,0.6891891891891891,5
sh600587,2020-12-24,10,15.179253578186035,0.4441687344913151,5
sh600058,2020-12-24,10,6.906434059143066,0.3453038674033149,5
sh600448,2020-12-24,10,3.861771821975708,0.4491315136476427,5
sh600600,2020-12-24,10,116.72862243652344,0.8092909535452323,505
sh600846,2020-12-24,10,9.215739250183105,0.8822170900692841,505
sh600585,2020-12-24,10,56.238792419433594,0.7875894988066826,505
sh601229,2020-12-24,10,7.736758708953857,0.7613636363636364,505
sh600529,2020-12-24,10,40.52577209472656,0.7334905660377359,505
sh600547,2020-12-24,10,25.20927619934082,0.8567567567567568,505
sh600587,2020-12-24,10,15.621588706970215,0.8535980148883374,505
sh600058,2020-12-24,10,7.077600955963135,0.850828729281768,505
sh600448,2020-12-24,10,4.180856704711914,0.794044665012407,505
