stock,act_day,act,target_price,sell_day,T2-sell,gain_percent,act_low,act_high,buy,at_price,EPOCH_R,act_low_dif,sell,selling_price
sh600030,2020-12-29,buy,27.401912689208984,2020-12-30,28.038956069946288,0.022719939328273417,28.0,28.52,0,0,50,-0.6,0,0
sh600600,2020-12-29,buy,95.76477813720705,2020-12-30,100.51208030700684,0.04723116022770105,95.1,99.58,200,95.62,50,0.66,0,0
sh600648,2020-12-29,buy,13.77528190612793,2020-12-30,13.981048293113705,0.01471752208216924,13.86,14.0,0,0,50,-0.08,0,0
sh600585,2020-12-29,buy,49.46014404296875,2020-12-30,50.64854181289673,0.023463612719949564,50.07,51.97,0,0,50,-0.61,200,51.23
sh600529,2020-12-29,buy,49.66259765625,2020-12-30,52.723791522979745,0.058060958408037086,50.06,53.14,0,0,50,-0.4,0,0
sh600547,2020-12-29,buy,23.67805290222168,2020-12-30,24.18407691001892,0.02092385041943056,23.27,23.51,0,0,50,0.41,0,0
sh600587,2020-12-29,buy,14.292733192443848,2020-12-30,14.849755554199215,0.037510540811417865,14.2,14.5,0,0,50,0.09,0,0
