stock,fc_date,T+1_lowest,reachability,T+1_lowest_+0.5%,reachability_2,uptonow_epochs
sh999999,2020-12-28,3378.909912109375,39.77,3395.8,59.06,20
sh999999,2020-12-28,3375.860107421875,53.72,3392.74,69.62,40
sh999999,2020-12-28,27.809999465942386,55.38,27.95,61.16,42
sh999999,2020-12-28,28.31999969482422,66.26,28.46,71.51,44
sh999999,2020-12-28,28.35000038146973,66.13,28.49,72.18,46
sh999999,2020-12-28,28.020000457763672,58.2,28.16,65.19,48
sh999999,2020-12-28,28.51000022888184,36.11,28.65,42.55,50
sh999999,2020-12-28,28.90999984741211,49.93,29.05,57.05,52
sh999999,2020-12-28,29.270000457763672,48.46,29.42,56.24,54
sh999999,2020-12-28,29.28000068664551,77.85,29.42,81.21,56
sh999999,2020-12-28,28.32999992370605,71.68,28.47,77.18,58
sh999999,2020-12-28,28.229999542236328,63.14,28.38,69.84,60
sh999999,2020-12-28,29.75,38.87,29.9,45.84,62
sh999999,2020-12-28,27.899999618530273,66.94,28.04,74.19,64
sh999999,2020-12-28,28.489999771118164,61.56,28.63,68.15,66
sh999999,2020-12-28,28.01000022888184,77.28,28.15,82.53,68
sh999999,2020-12-28,28.149999618530273,45.83,28.29,52.55,70
sh999999,2020-12-28,28.45000076293945,54.09,28.59,61.48,72
sh999999,2020-12-28,28.75,36.78,28.9,46.44,74
sh999999,2020-12-28,29.309999465942386,29.93,29.46,36.91,76
sh999999,2020-12-28,27.899999618530273,63.44,28.04,68.95,78
sh999999,2020-12-28,28.13999938964844,56.99,28.28,64.25,80
sh999999,2020-12-28,27.959999084472656,76.21,28.1,81.45,82
sh999999,2020-12-28,28.239999771118164,31.45,28.39,38.98,84
sh999999,2020-12-28,28.059999465942386,76.64,28.2,81.07,86
sh999999,2020-12-28,29.020000457763672,26.44,29.16,32.75,88
sh999999,2020-12-28,28.82999992370605,72.48,28.98,78.52,90
sh999999,2020-12-28,29.26000022888184,76.24,29.4,78.66,92
sh999999,2020-12-28,28.290000915527344,57.32,28.43,65.23,94
sh999999,2020-12-28,28.13999938964844,57.91,28.28,65.28,96
sh999999,2020-12-28,29.239999771118164,55.76,29.38,65.01,98
sh999999,2020-12-28,29.79999923706055,32.17,29.95,39.95,100
sh999999,2020-12-28,29.86000061035156,88.47,30.01,89.54,102
sh999999,2020-12-28,30.79999923706055,22.65,30.96,30.43,104
sh999999,2020-12-28,30.81999969482422,45.78,30.97,54.75,106
sh999999,2020-12-28,28.209999084472656,70.97,28.35,76.61,146
sh999999,2020-12-28,28.57999992370605,42.34,28.72,52.15,186
