stock,fc_date,T+1_lowest,reachability,T+1_lowest_+0.5%,reachability_2,uptonow_epochs
sh600030,2020-12-26,27.36000061035156,50.67,27.5,61.73,300
sh600600,2020-12-26,95.72000122070312,63.6,96.19,72.27,300
sh600846,2020-12-26,8.069999694824219,53.9,8.11,64.07,300
sh600585,2020-12-26,50.5,54.56,50.76,64.99,300
sh601229,2020-12-26,7.789999961853027,76.96,7.83,87.43,300
sh600529,2020-12-26,47.72000122070313,58.06,47.96,68.04,300
sh600547,2020-12-26,23.13999938964844,58.89,23.25,66.94,300
sh600587,2020-12-26,14.579999923706055,56.3,14.65,64.52,300
sh600030,2020-12-26,27.35000038146973,51.2,27.49,63.07,500
sh600030,2020-12-26,27.34000015258789,50.27,27.48,59.6,700
sh600600,2020-12-26,96.33000183105469,58.93,96.82,68.4,500
sh600846,2020-12-26,8.069999694824219,52.97,8.11,62.35,500
sh600585,2020-12-26,50.61999893188477,60.9,50.87,70.94,500
sh601229,2020-12-26,7.940000057220459,60.73,7.98,69.11,500
sh600529,2020-12-26,48.61000061035156,63.38,48.85,72.44,500
sh600547,2020-12-26,23.290000915527344,50.83,23.41,58.33,500
sh600587,2020-12-26,14.550000190734865,60.27,14.62,69.04,500
sh600058,2020-12-26,6.949999809265137,51.39,6.98,63.47,200
