stock,fc_date,future_days,future_high,reachability,0.5%_off,uptonow_epochs
sh600298,2021-01-06,2,59.3956298828125,58.94,65.96,450
sh600211,2021-01-06,2,73.03137969970703,60.17,65.7,450
sz002399,2021-01-06,2,17.40233039855957,56.28,65.37,450
sz000729,2021-01-06,2,8.447713851928711,62.85,72.73,450
sz002664,2021-01-06,2,14.595952033996582,64.99,70.03,450
sh600030,2021-01-06,2,30.13787841796875,70.31,74.3,450
sh600600,2021-01-06,2,109.0618133544922,64.49,74.47,450
sh600648,2021-01-06,2,13.956863403320312,67.21,75.41,450
sh600585,2021-01-06,2,56.56959915161133,50.4,61.35,450
sh600529,2021-01-06,2,48.64115905761719,59.97,71.01,450
sh600587,2021-01-06,2,14.78249454498291,63.89,73.05,450
sh600685,2021-01-06,2,31.33677864074707,57.65,66.24,450
sz002304,2021-01-06,2,260.38192749023443,62.52,70.81,450
sh603589,2021-01-06,2,76.48343658447266,56.92,65.77,450
sh600305,2021-01-06,2,24.244892120361328,58.52,69.35,450
sh600058,2021-01-06,2,7.453162670135497,68.7,74.93,450
sh600547,2021-01-06,2,25.547748565673828,62.97,68.65,450
sz300778,2021-01-06,2,26.622066497802734,44.44,55.56,450
