stock,act_day,act,target_price,sell_day,T2-sell,gain_percent,act_low,act_high,buy,at_price,EPOCH_R,sell,selling_price,act_low_dif
sh600030,2021-01-04,buy,28.66678810119629,2021-01-05,29.73117040634155,0.04,28.7,29.49,0,0.0,100,0.0,0.0,-0.03
sh600600,2021-01-04,buy,97.06011199951172,2021-01-05,100.71307376861573,0.04,98.7,104.87,0,0.0,100,0.0,0.0,-1.64
sh600648,2021-01-04,buy,13.924663543701172,2021-01-05,14.25593780517578,0.02,13.78,13.97,0,13.924663543701172,100,0.0,0.0,0.14
sh600585,2021-01-04,buy,50.99347686767578,2021-01-05,52.19411222457886,0.02,51.31,52.43,0,0.0,100,0.0,0.0,-0.32
sh600529,2021-01-04,buy,48.87519073486328,2021-01-05,51.38094537734985,0.05,47.69,50.22,0,48.87519073486328,100,0.0,0.0,1.19
sh600587,2021-01-04,buy,14.173192977905273,2021-01-05,14.588665981292724,0.03,14.06,14.29,0,14.173192977905273,100,0.0,0.0,0.11
sh600685,2021-01-04,buy,25.06732940673828,2021-01-05,27.06849857330323,0.08,26.65,29.16,0,0.0,100,0.0,0.0,-1.58
sh600058,2021-01-04,buy,7.419807910919189,2021-01-05,7.717246136665344,0.04,7.3,7.5,0,7.419807910919189,100,0.0,0.0,0.12
sh600547,2021-01-04,buy,24.13202667236328,2021-01-05,24.656472654342647,0.02,23.88,24.34,0,24.13202667236328,100,0.0,0.0,0.25
sh600030,2021-01-04,buy,28.66678810119629,2021-01-05,29.731174201965327,0.04,28.7,29.49,600,28.78,100,0.0,0.0,-0.03
sh600685,2021-01-04,buy,25.062286376953125,2021-01-05,27.535817670822144,0.1,26.65,29.16,0,0.0,100,0.0,0.0,-1.59
sh600600,2021-01-04,buy,97.06011199951172,2021-01-05,100.71307376861573,0.04,98.7,104.87,0,0.0,100,0.0,0.0,-1.64
sh600648,2021-01-04,buy,13.924663543701172,2021-01-05,14.255936856269836,0.02,13.78,13.97,0,13.924663543701172,100,0.0,0.0,0.14
sh600585,2021-01-04,buy,50.99348068237305,2021-01-05,52.19411222457886,0.02,51.31,52.43,0,0.0,100,0.0,0.0,-0.32
sh600529,2021-01-04,buy,48.87519454956055,2021-01-05,51.38094917297363,0.05,47.69,50.22,0,48.87519454956055,100,0.0,0.0,1.19
sh600587,2021-01-04,buy,14.17319107055664,2021-01-05,14.588664083480834,0.03,14.06,14.29,0,14.17319107055664,100,0.0,0.0,0.11
sh600058,2021-01-04,buy,7.419807910919189,2021-01-05,7.717245662212372,0.04,7.3,7.5,0,7.419807910919189,100,0.0,0.0,0.12
sh600547,2021-01-04,buy,24.132038116455078,2021-01-05,24.65648404121399,0.02,23.88,24.34,0,24.132038116455078,100,0.0,0.0,0.25
