stock,fc_date,future_days,future_high,reachability,0.5%_off,uptonow_epochs
sh999999,2020-12-28,2,29.209369659423828,67.25,73.66,3189
sh999999,2020-12-28,2,29.70908546447754,62.03,70.19,3249
sh999999,2020-12-28,2,29.158002853393555,60.43,68.05,3309
sh999999,2020-12-28,2,29.34172248840332,50.67,58.56,3369
sh999999,2020-12-28,2,29.342477798461914,48.87,59.68,3429
sh999999,2020-12-28,2,29.493940353393555,46.06,57.68,3489
sh999999,2020-12-28,2,29.35930633544922,50.6,61.95,3549
sh999999,2020-12-28,2,28.71384429931641,67.42,73.83,3609
sh999999,2020-12-28,2,28.678264617919922,52.34,62.35,3669
sh999999,2020-12-28,2,29.206899642944336,64.52,73.12,3729
sh999999,2020-12-28,2,29.45968246459961,68.82,75.81,3789
sh999999,2020-12-28,2,29.65275573730469,50.81,62.1,3849
sh999999,2020-12-28,2,29.63719749450684,69.49,75.67,3909
sh999999,2020-12-28,2,29.79464530944824,60.27,68.72,3969
sh999999,2020-12-28,2,29.79837989807129,69.13,75.57,4029
sh999999,2020-12-28,2,30.257312774658203,61.34,69.93,4089
sh999999,2020-12-28,2,30.49075698852539,56.64,65.23,4149
sh999999,2020-12-28,2,29.5440616607666,69.8,75.3,4209
sh999999,2020-12-28,2,29.838308334350586,61.26,69.44,4269
sh999999,2020-12-28,2,30.02656555175781,38.87,51.61,4329
sh999999,2020-12-28,2,30.923526763916016,56.84,65.01,4389
sh999999,2020-12-28,2,32.26669692993164,65.01,71.85,4449
sh999999,2020-12-28,2,30.799724578857425,51.07,61.66,4509
sh999999,2020-12-28,2,31.471384048461914,33.47,44.71,4569
sh999999,2020-12-28,2,30.6861572265625,35.74,48.06,4629
sh999999,2020-12-28,2,30.61139297485352,66.67,73.63,4689
sh999999,2020-12-28,2,30.602296829223643,71.89,76.97,4749
sh999999,2020-12-28,2,29.97138786315918,47.79,58.63,4809
sh999999,2020-12-28,2,29.77790260314941,58.56,68.18,4869
sh999999,2020-12-28,2,29.257755279541016,43.98,55.75,4929
sh999999,2020-12-28,2,29.449113845825195,61.5,69.79,4989
sh999999,2020-12-28,2,28.981056213378906,61.76,70.19,5049
sh999999,2020-12-28,2,29.07427215576172,57.35,69.25,5109
sh999999,2020-12-28,2,29.33885955810547,62.35,69.16,5169
sh999999,2020-12-28,2,29.71617126464844,63.55,70.89,5229
sh999999,2020-12-28,2,29.31740951538086,43.52,56.34,5289
sh999999,2020-12-28,2,28.68865203857422,50.73,59.28,5349
sh999999,2020-12-28,2,28.63824844360352,62.48,70.23,5409
sh999999,2020-12-28,2,28.96701431274414,61.69,70.7,5469
sh999999,2020-12-28,2,29.40459060668945,49.46,59.54,5529
sh999999,2020-12-28,2,29.76026153564453,72.72,78.76,5589
sh999999,2020-12-28,2,29.53962707519531,71.64,78.63,5649
sh999999,2020-12-28,2,29.674320220947266,44.16,55.03,5709
sh999999,2020-12-28,2,29.67538642883301,51.95,61.07,5769
sh999999,2020-12-28,2,30.30163383483887,62.68,71.01,5829
sh999999,2020-12-28,2,30.27123260498047,49.53,59.33,5889
sh999999,2020-12-28,2,29.626394271850586,71.95,77.58,5949
sh999999,2020-12-28,2,29.7656364440918,56.57,67.69,6009
sh999999,2020-12-28,2,30.063274383544922,39.68,51.61,6069
sh999999,2020-12-28,2,30.897724151611328,56.03,64.48,6129
sh999999,2020-12-28,2,32.15969467163086,47.32,57.51,6189
sh999999,2020-12-28,2,31.33802604675293,57.37,67.69,6249
sh999999,2020-12-28,2,31.340835571289066,62.52,70.28,6309
sh999999,2020-12-28,2,30.6214542388916,37.88,49.0,6369
sh999999,2020-12-28,2,30.35965919494629,33.07,43.51,6429
sh999999,2020-12-28,2,30.52697944641113,52.88,62.38,6489
sh999999,2020-12-28,2,29.925355911254893,56.89,66.93,6549
sh999999,2020-12-28,2,29.573936462402344,61.23,69.52,6609
sh999999,2020-12-28,2,29.05173301696777,55.75,63.64,6669
sh999999,2020-12-28,2,29.43566703796387,47.19,55.75,6729
sh999999,2020-12-28,2,29.044734954833984,74.73,80.21,6789
sh999999,2020-12-28,2,29.17793846130371,66.44,73.53,6849
sh999999,2020-12-28,2,29.58014869689941,42.72,57.41,6909
sh999999,2020-12-28,2,29.69288444519043,61.01,69.16,6969
sh999999,2020-12-28,2,29.37821960449219,47.4,59.01,7029
sh999999,2020-12-28,2,28.52976226806641,55.14,66.36,7089
sh999999,2020-12-28,2,28.5341854095459,68.49,74.1,7149
sh999999,2020-12-28,2,29.001914978027344,63.71,73.39,7209
sh999999,2020-12-28,2,29.45437049865723,54.7,64.38,7269
sh999999,2020-12-28,2,29.907678604125977,71.37,77.15,7329
sh999999,2020-12-28,2,29.307334899902344,38.17,51.34,7389
sh999999,2020-12-28,2,29.80462074279785,32.48,40.54,7449
sh999999,2020-12-28,2,29.573087692260746,69.26,74.36,7509
sh999999,2020-12-28,2,30.257442474365234,67.25,73.42,7569
sh999999,2020-12-28,2,30.3051700592041,71.81,77.45,7629
sh999999,2020-12-28,2,29.60434341430664,71.95,77.32,7689
sh999999,2020-12-28,2,29.536602020263672,58.18,67.69,7749
sh999999,2020-12-28,2,29.87303733825684,60.19,66.76,7809
sh999999,2020-12-28,2,30.93842887878418,55.23,64.34,7869
sh999999,2020-12-28,2,31.85512542724609,60.86,69.17,7929
sh999999,2020-12-28,2,31.302690505981445,50.0,59.38,7989
sh999999,2020-12-28,2,31.10638427734375,44.31,53.68,8049
sh999999,2020-12-28,2,30.56717872619629,45.11,57.56,8109
sh999999,2020-12-28,2,30.316850662231445,68.94,75.37,8169
sh999999,2020-12-28,2,30.382699966430664,56.49,65.33,8229
sh999999,2020-12-28,2,29.8980712890625,60.11,70.15,8289
sh999999,2020-12-28,2,29.555572509765625,65.37,73.53,8349
sh999999,2020-12-28,2,29.150209426879893,52.41,62.3,8409
sh999999,2020-12-28,2,29.30453681945801,63.64,72.06,8469
sh999999,2020-12-28,2,28.991891860961914,56.82,66.18,8529
sh600030,2020-12-28,2,28.17985534667969,46.93,55.73,300
sh600600,2020-12-28,2,101.01716613769531,62.13,71.2,300
sh600648,2020-12-28,2,14.051304817199707,44.46,56.36,300
sh600585,2020-12-28,2,50.90305709838867,68.43,75.03,300
sh600529,2020-12-28,2,52.98873519897461,58.32,68.04,300
sh600547,2020-12-28,2,24.305604934692386,59.03,65.0,300
sh600587,2020-12-28,2,14.92437744140625,65.07,72.74,300
sh999999,2020-12-28,2,29.91880989074707,66.13,70.03,8589
