stock,act_day,act,target_price,sell_day,T2-sell,gain_percent,act_low,act_high,buy,at_price,EPOCH_R,sell,selling_price,act_low_dif
sh600030,2021-01-06,buy,28.64328765869141,2021-01-07,29.33955312728882,0.02,29.27,29.97,0,0.0,100,0.0,0.0,-0.63
sh600600,2021-01-06,buy,102.74522399902344,2021-01-07,109.12139007568359,0.06,104.8,109.06,0,0.0,100,0.0,0.0,-2.05
sh600648,2021-01-06,buy,13.669095039367676,2021-01-07,13.836483421325688,0.01,13.67,13.82,0,0.0,100,0.0,0.0,-0.0
sh600585,2021-01-06,buy,51.119789123535156,2021-01-07,52.200769748687755,0.02,51.82,56.9,0,0.0,100,0.0,0.0,-0.7
sh600529,2021-01-06,buy,46.13788223266602,2021-01-07,47.995989112854005,0.04,45.88,46.97,0,46.13788223266602,100,0.0,0.0,0.26
sh600587,2021-01-06,buy,13.996295928955078,2021-01-07,14.496553783416749,0.04,14.1,14.55,0,0.0,100,0.0,0.0,-0.1
sh600685,2021-01-06,buy,27.630109786987305,2021-01-07,29.209082355499266,0.06,27.7,31.0,0,0.0,100,0.0,0.0,-0.07
sz002304,2021-01-06,buy,246.9672393798828,2021-01-07,257.2279052734375,0.04,249.5,268.6,0,0.0,100,0.0,0.0,-2.53
sh603589,2021-01-06,buy,71.4075927734375,2021-01-07,76.1481534576416,0.07,72.42,77.8,0,0.0,100,0.0,0.0,-1.01
sh600305,2021-01-06,buy,23.29790115356445,2021-01-07,24.18807559967041,0.04,23.3,24.23,0,0.0,100,0.0,0.0,-0.0
sh600058,2021-01-06,buy,7.370236396789551,2021-01-07,7.510210516452791,0.02,7.12,7.33,0,7.370236396789551,100,0.0,0.0,0.25
sh600547,2021-01-06,buy,24.703876495361328,2021-01-07,25.05550848007202,0.01,24.11,24.85,0,24.703876495361328,100,0.0,0.0,0.59
sh600030,2021-01-06,buy,28.732746124267567,2021-01-07,29.297047834396363,0.02,29.27,29.97,0,0.0,150,0.0,0.0,-0.54
sh600600,2021-01-06,buy,104.33138275146484,2021-01-07,109.18435947418213,0.05,104.8,109.06,0,0.0,150,0.0,0.0,-0.47
sh600648,2021-01-06,buy,13.663207054138185,2021-01-07,13.85153591632843,0.01,13.67,13.82,0,0.0,150,0.0,0.0,-0.01
sh600585,2021-01-06,buy,50.93148803710938,2021-01-07,52.05454713821411,0.02,51.82,56.9,0,0.0,150,0.0,0.0,-0.89
sh600529,2021-01-06,buy,45.1147689819336,2021-01-07,47.12214921951294,0.04,45.88,46.97,0,0.0,150,0.0,0.0,-0.77
sh600587,2021-01-06,buy,14.358802795410154,2021-01-07,14.527117094993589,0.01,14.1,14.55,0,14.358802795410154,150,0.0,0.0,0.26
sh600685,2021-01-06,buy,28.25236320495605,2021-01-07,30.015333576202394,0.06,27.7,31.0,0,28.25236320495605,150,0.0,0.0,0.55
sz002304,2021-01-06,buy,248.92286682128903,2021-01-07,258.5387922668457,0.04,249.5,268.6,0,0.0,150,0.0,0.0,-0.58
sh603589,2021-01-06,buy,71.46624755859375,2021-01-07,76.31070484161377,0.07,72.42,77.8,0,0.0,150,0.0,0.0,-0.95
sh600305,2021-01-06,buy,23.270795822143555,2021-01-07,23.99758462905884,0.03,23.3,24.23,0,0.0,150,0.0,0.0,-0.03
sh600547,2021-01-06,buy,24.41661071777344,2021-01-07,25.18140362739563,0.03,24.11,24.85,800,24.42,150,0.0,0.0,0.31
sh600030,2021-01-06,buy,28.695274353027344,2021-01-07,29.51983197212219,0.03,29.27,29.97,0,0.0,150,0.0,0.0,-0.57
sh600600,2021-01-06,buy,102.80829620361328,2021-01-07,108.58950172424316,0.06,104.8,109.06,0,0.0,150,0.0,0.0,-1.99
sh600648,2021-01-06,buy,13.630098342895508,2021-01-07,13.964262146949768,0.02,13.67,13.82,1400,13.66,150,0.0,0.0,-0.04
sh600585,2021-01-06,buy,51.18901824951172,2021-01-07,52.06325050354004,0.02,51.82,56.9,0,0.0,150,0.0,0.0,-0.63
sh600529,2021-01-06,buy,45.51888275146485,2021-01-07,47.37168491363526,0.04,45.88,46.97,0,0.0,150,0.0,0.0,-0.36
sh600587,2021-01-06,buy,14.311342239379885,2021-01-07,14.497005462646484,0.01,14.1,14.55,0,14.311342239379885,150,0.0,0.0,0.21
sh600685,2021-01-06,buy,27.98930740356445,2021-01-07,29.6751526927948,0.06,27.7,31.0,0,27.98930740356445,150,0.0,0.0,0.29
sz002304,2021-01-06,buy,247.1171112060547,2021-01-07,260.6255351257324,0.05,249.5,268.6,0,0.0,150,0.0,0.0,-2.38
sh603589,2021-01-06,buy,71.15430450439453,2021-01-07,76.93059093475341,0.08,72.42,77.8,0,0.0,150,0.0,0.0,-1.27
sh600305,2021-01-06,buy,23.29790306091309,2021-01-07,24.25077740669251,0.04,23.3,24.23,0,0.0,150,0.0,0.0,-0.0
sh600058,2021-01-06,buy,7.372929573059082,2021-01-07,7.6481406378746035,0.04,7.12,7.33,0,7.372929573059082,150,0.0,0.0,0.25
sh600547,2021-01-06,buy,24.877893447875977,2021-01-07,25.270574216842647,0.02,24.11,24.85,0,24.877893447875977,150,0.0,0.0,0.77
sz300778,2021-01-06,buy,26.119102478027344,2021-01-07,27.135049142837524,0.04,25.77,26.48,700,26.12,150,0.0,0.0,0.35
sh600298,2021-01-06,buy,55.02667999267578,2021-01-07,57.26326646804811,0.04,56.0,58.8,0,0.0,150,0.0,0.0,-0.97
sh600211,2021-01-06,buy,67.66495513916016,2021-01-07,71.56032985687256,0.06,68.03,71.65,0,0.0,150,0.0,0.0,-0.37
sz002399,2021-01-06,buy,17.68561363220215,2021-01-07,17.83414825439453,0.01,17.1,17.59,1000,17.49,150,0.0,0.0,0.59
sz000729,2021-01-06,buy,8.415477752685549,2021-01-07,8.76657479763031,0.04,8.15,8.63,2000,8.42,150,0.0,0.0,0.27
