stock,fc_date,T+1_lowest,reachability,T+1_lowest_+0.5%,reachability_2,uptonow_epochs
sh999999,2020-12-29,29.03000068664551,39.92,29.17,49.33,2
sh999999,2020-12-29,28.04999923706055,74.73,28.19,79.03,4
sh999999,2020-12-29,28.6299991607666,55.78,28.77,63.44,44
sh999999,2020-12-29,28.21999931335449,74.06,28.36,79.84,84
sh999999,2020-12-29,28.45000076293945,66.26,28.59,74.6,124
sh999999,2020-12-29,28.739999771118164,72.62,28.88,77.72,164
sh999999,2020-12-29,28.65999984741211,46.71,28.81,56.11,204
sh999999,2020-12-29,29.15999984741211,48.99,29.3,57.99,244
sh999999,2020-12-29,28.28000068664551,36.96,28.42,45.43,254
sh999999,2020-12-29,28.399999618530273,72.85,28.54,77.96,264
sh999999,2020-12-29,28.57999992370605,60.22,28.72,68.41,274
sh999999,2020-12-29,28.809999465942386,39.19,28.96,47.38,284
sh999999,2020-12-29,28.84000015258789,60.0,28.98,68.05,294
sh999999,2020-12-29,29.13999938964844,71.01,29.28,77.32,304
sh999999,2020-12-29,29.29999923706055,45.64,29.44,57.85,314
sh999999,2020-12-29,28.670000076293945,79.19,28.81,81.88,324
sh999999,2020-12-29,27.96999931335449,57.93,28.11,63.98,334
sh999999,2020-12-29,28.270000457763672,63.71,28.41,70.3,344
sh999999,2020-12-29,28.84000015258789,58.33,28.98,67.74,354
sh999999,2020-12-29,28.86000061035156,70.47,29.01,76.24,364
sh999999,2020-12-29,28.63999938964844,59.33,28.79,69.53,374
sh999999,2020-12-29,28.8799991607666,55.57,29.02,64.83,384
sh999999,2020-12-29,29.38999938964844,33.96,29.54,44.43,394
sh999999,2020-12-29,28.690000534057607,80.13,28.83,83.22,404
sh999999,2020-12-29,28.36000061035156,79.62,28.51,82.57,414
sh999999,2020-12-29,29.29999923706055,65.15,29.44,73.59,424
sh999999,2020-12-29,29.56999969482422,77.08,29.71,82.44,434
sh999999,2020-12-29,30.85000038146973,37.94,31.0,49.2,444
sh999999,2020-12-29,30.36000061035156,69.84,30.51,76.54,454
sh999999,2020-12-29,30.239999771118164,60.51,30.39,68.81,464
sh999999,2020-12-29,29.790000915527344,57.56,29.93,66.0,474
sh999999,2020-12-29,29.25,41.5,29.39,49.8,484
sh999999,2020-12-29,28.07999992370605,62.9,28.22,69.76,494
sh999999,2020-12-29,28.36000061035156,54.7,28.5,63.31,504
sh999999,2020-12-29,28.46999931335449,47.98,28.62,57.93,514
sh999999,2020-12-29,28.76000022888184,49.26,28.9,60.67,524
sh999999,2020-12-29,28.54999923706055,51.28,28.7,61.21,534
sh999999,2020-12-29,28.86000061035156,42.82,29.01,51.14,544
sh999999,2020-12-29,29.20000076293945,48.32,29.34,59.06,554
sh999999,2020-12-29,28.45000076293945,83.22,28.59,85.77,564
sh999999,2020-12-29,28.489999771118164,49.06,28.63,57.91,574
sh999999,2020-12-29,29.43000030517578,21.18,29.58,27.88,584
sh999999,2020-12-29,29.45000076293945,77.61,29.6,82.98,594
sh999999,2020-12-29,30.84000015258789,30.16,31.0,38.47,604
sh999999,2020-12-29,30.29999923706055,68.63,30.45,74.66,614
sh999999,2020-12-29,30.209999084472656,61.04,30.36,70.55,624
sh999999,2020-12-29,29.68000030517578,62.65,29.83,70.28,634
sh999999,2020-12-29,29.31999969482422,42.84,29.47,51.54,644
sh999999,2020-12-29,28.399999618530273,50.67,28.55,60.08,654
sh999999,2020-12-29,28.3700008392334,71.51,28.51,77.55,664
sh999999,2020-12-29,28.8700008392334,42.47,29.01,55.78,674
sh999999,2020-12-29,28.8799991607666,44.03,29.02,56.51,684
sh999999,2020-12-29,28.5,34.5,28.64,41.21,694
sh999999,2020-12-29,29.26000022888184,34.63,29.41,47.65,704
sh999999,2020-12-29,29.34000015258789,49.26,29.48,59.6,714
sh999999,2020-12-29,28.59000015258789,68.19,28.74,76.11,724
sh999999,2020-12-29,28.63999938964844,56.84,28.78,67.56,734
sh999999,2020-12-29,29.11000061035156,79.49,29.25,84.18,744
sh999999,2020-12-29,29.6200008392334,77.88,29.76,82.84,754
sh999999,2020-12-29,28.399999618530273,71.24,28.54,76.61,794
sh999999,2020-12-29,28.26000022888184,67.07,28.4,72.85,834
sh999999,2020-12-29,28.309999465942386,57.8,28.45,65.86,874
sh999999,2020-12-29,28.68000030517578,32.08,28.82,40.81,914
sh999999,2020-12-29,28.61000061035156,67.52,28.75,74.9,954
sh999999,2020-12-29,29.149999618530273,49.8,29.3,59.06,994
sh999999,2020-12-29,29.10000038146973,40.81,29.24,51.68,1034
sh999999,2020-12-29,28.51000022888184,52.89,28.65,64.3,1074
sh999999,2020-12-29,28.770000457763672,32.71,28.91,41.55,1114
sh999999,2020-12-29,29.40999984741211,37.53,29.55,50.4,1154
sh999999,2020-12-29,29.940000534057607,36.33,30.09,48.39,1194
sh999999,2020-12-29,30.809999465942386,46.92,30.96,57.77,1234
sh999999,2020-12-29,30.20000076293945,69.57,30.35,75.2,1274
sh999999,2020-12-29,30.28000068664551,30.12,30.43,42.3,1314
sh999999,2020-12-29,29.56999969482422,59.3,29.72,66.27,1354
sh999999,2020-12-29,29.43000030517578,55.69,29.58,64.12,1394
sh999999,2020-12-29,29.38999938964844,72.69,29.54,77.91,1434
sh999999,2020-12-29,29.04999923706055,59.84,29.2,68.81,1474
sh999999,2020-12-29,28.540000915527344,43.32,28.68,54.55,1514
sh999999,2020-12-29,28.059999465942386,58.02,28.2,68.85,1554
sh999999,2020-12-29,28.40999984741211,64.44,28.55,73.8,1594
sh999999,2020-12-29,28.07999992370605,76.07,28.22,80.48,1634
sh999999,2020-12-29,28.29999923706055,65.64,28.45,74.33,1674
sh999999,2020-12-29,28.46999931335449,67.29,28.61,75.03,1714
sh999999,2020-12-29,28.520000457763672,52.2,28.66,61.68,1754
sh999999,2020-12-29,28.46999931335449,42.99,28.61,54.87,1794
sh999999,2020-12-29,27.6299991607666,69.69,27.77,77.3,1834
sh999999,2020-12-29,27.86000061035156,60.35,28.0,70.63,1874
