stock,fc_date,future_days,future_high,reachability,0.5%_off,uptonow_epochs
sh600030,2021-01-05,2,29.486988067626953,55.53,65.25,300
sh600600,2021-01-05,2,109.66973876953124,62.72,72.04,300
sh600648,2021-01-05,2,13.906013488769533,57.1,65.3,300
sh600585,2021-01-05,2,52.46308517456055,55.8,66.49,300
sh600529,2021-01-05,2,48.23717498779297,55.59,64.36,300
sh600587,2021-01-05,2,14.569400787353516,54.45,65.25,300
sh600685,2021-01-05,2,29.35586166381836,59.66,67.38,300
sz002304,2021-01-05,2,258.5205078125,55.18,67.04,300
sh603589,2021-01-05,2,76.53080749511719,55.77,64.62,300
sh600305,2021-01-05,2,24.30962371826172,49.8,60.9,300
sh600058,2021-01-05,2,7.547950267791747,57.89,68.01,300
sh600547,2021-01-05,2,25.181415557861328,50.07,57.28,300
sh600030,2021-01-05,2,29.44426918029785,68.04,72.44,750
sh600600,2021-01-05,2,109.73302459716795,61.92,71.77,750
sh600648,2021-01-05,2,13.921141624450685,56.69,65.3,750
sh600585,2021-01-05,2,52.31612777709961,63.32,73.22,750
sh600529,2021-01-05,2,47.35894393920898,59.71,68.75,750
sh600587,2021-01-05,2,14.600117683410645,54.04,64.43,750
sh600685,2021-01-05,2,30.16616439819336,57.51,66.67,750
sz002304,2021-01-05,2,259.83798217773443,49.34,60.45,750
sh603589,2021-01-05,2,76.69417572021484,56.54,67.31,750
sh600305,2021-01-05,2,24.1181755065918,57.2,68.56,750
sh600058,2021-01-05,2,7.465470790863037,48.75,57.62,750
sh600547,2021-01-05,2,25.30794334411621,49.38,56.87,750
sz300778,2021-01-05,2,27.27140617370605,51.39,63.89,450
sz300778,2021-01-05,2,26.315732955932607,42.86,59.74,900
sh600298,2021-01-05,2,57.55102157592773,54.97,63.31,450
sh600211,2021-01-05,2,71.91992950439453,52.14,59.61,450
sz002399,2021-01-05,2,17.92376708984375,66.45,72.73,450
sz000729,2021-01-05,2,8.810627937316895,54.75,66.36,450
