stock,fc_date,future_days,future_price,buy_acc_rate,uptonow_epochs
sh600600,2020-12-24,10,93.7737274169922,0.6223628691983122,500.0
sh600846,2020-12-24,10,9.218247413635254,0.7665952890792291,500.0
sh600585,2020-12-24,10,50.25353622436523,0.8720682302771855,500.0
sh601229,2020-12-24,10,7.736758708953857,0.7613636363636364,500.0
sh600529,2020-12-24,10,42.815467834472656,0.6544715447154471,500.0
sh600547,2020-12-24,10,24.335941314697266,0.8251231527093597,500.0
sh600587,2020-12-24,10,15.36568832397461,0.8303964757709251,500.0
sh600058,2020-12-24,10,7.008847236633301,0.8870292887029289,500.0
sh600448,2020-12-24,10,4.187423229217528,0.7727272727272727,500.0
sh000300,2020-12-24,10,4876.8671875,0.7477272727272727,5.0
sh600600,2020-12-24,10,101.12781524658205,0.5295358649789029,501.0
sh600846,2020-12-24,10,8.224601745605469,0.6145610278372591,501.0
sh600585,2020-12-24,10,49.33237075805664,0.1535181236673774,501.0
sh601229,2020-12-24,10,7.9705634117126465,0.6363636363636364,501.0
sh600529,2020-12-24,10,49.51985931396485,0.7052845528455285,501.0
sh600547,2020-12-24,10,27.82391357421875,0.955665024630542,501.0
sh600587,2020-12-24,10,16.399127960205078,0.8810572687224669,501.0
sh600058,2020-12-24,10,7.407347202301025,0.6924686192468619,501.0
sh600448,2020-12-24,10,3.691718578338623,0.2318181818181818,501.0
sh000300,2020-12-24,10,5024.72314453125,0.8704545454545455,505.0
sh600600,2020-12-24,10,111.2198257446289,0.890295358649789,601.0
sh600846,2020-12-24,10,8.107584953308105,0.6188436830835118,601.0
sh600585,2020-12-24,10,51.70402145385742,0.7825159914712153,601.0
sh601229,2020-12-24,10,7.966723918914795,0.42045454545454547,601.0
sh600529,2020-12-24,10,45.98435974121094,0.4532520325203252,601.0
sh600547,2020-12-24,10,24.357975006103516,0.8645320197044335,601.0
sh600587,2020-12-24,10,14.954729080200195,0.5176211453744494,601.0
sh600058,2020-12-24,10,7.319070339202881,0.8242677824267782,601.0
sh600448,2020-12-24,10,3.9177424907684326,0.6909090909090909,601.0
