stock,fc_date,t+1_low,reachability,t+1_low+0.5%,reachability2,df_epochs,t+2_high,t+2_high.1,reality,t+2_high*99.5%,reality_2,ht_epochs
sh600298,2021-01-06,55.71,61.72,55.99,71.26,300,59.4,,58.94,59.1,65.96,450
sh600211,2021-01-06,68.83,43.57,69.17,52.97,300,73.03,,60.17,72.67,65.7,450
sz002399,2021-01-06,17.19,59.96,17.28,69.48,300,17.4,,56.28,17.32,65.37,450
sz000729,2021-01-06,8.07,59.82,8.11,70.62,300,8.45,,62.85,8.41,72.73,450
sz002664,2021-01-06,14.02,62.86,14.09,71.35,300,14.6,,64.99,14.52,70.03,450
sh600030,2021-01-06,28.99,51.66,29.13,62.32,300,30.14,,70.31,29.99,74.3,450
sh600600,2021-01-06,104.53,57.45,105.05,67.42,300,109.06,,64.49,108.52,74.47,450
sh600648,2021-01-06,13.56,53.14,13.62,63.39,300,13.96,,67.21,13.89,75.41,450
sh600585,2021-01-06,54.48,61.08,54.75,68.47,300,56.57,,50.4,56.29,61.35,450
sh600529,2021-01-06,46.11,53.72,46.34,64.63,300,48.64,,59.97,48.4,71.01,450
sh600587,2021-01-06,14.28,53.08,14.35,61.15,300,14.78,,63.89,14.71,73.05,450
sh600685,2021-01-06,28.82,52.79,28.96,59.37,300,31.34,,57.65,31.18,66.24,450
sz002304,2021-01-06,245.59,57.06,246.82,68.17,300,260.38,,62.52,259.08,70.81,450
sh603589,2021-01-06,69.93,57.31,70.28,68.08,300,76.48,,56.92,76.1,65.77,450
sh600305,2021-01-06,23.11,64.73,23.23,71.07,300,24.24,,58.52,24.12,69.35,450
sh600058,2021-01-06,7.11,57.62,7.15,67.73,300,7.45,,68.7,7.42,74.93,450
sh600547,2021-01-06,24.47,49.79,24.59,57.42,300,25.55,,62.97,25.42,68.65,450
sz300778,2021-01-06,26.27,52.78,26.4,62.5,300,26.62,,44.44,26.49,55.56,450
