,Unnamed: 0,open,high,low,adjclose,amount,volume,str07,adjclose_15,true_adjclose_15,buy_profit,sell_profit
51.0,2000-03-29,9.65,9.75,9.1,9.41,20245826.0,2147800,961,9.602016,9.66,0.19201644897460923,0.0
53.0,2000-03-31,9.8,9.82,9.59,9.73,26259582.0,2705900,980,9.917957,9.48,0.0,-0.1879573059082027
55.0,2000-04-04,9.8,9.8,9.31,9.37,27649404.0,2901200,982,9.855815,9.45,0.48581493377685625,0.0
57.0,2000-04-06,9.45,9.65,9.45,9.62,13666832.0,1434000,944,9.649542,9.07,0.0,-0.02954185485839922
58.0,2000-04-07,9.72,10.0,9.6,9.7,18446632.0,1888400,962,9.699934,9.12,0.0,6.599426269460196e-05
65.0,2000-04-18,9.9,9.99,9.6,9.67,16772542.0,1733500,990,9.761944,8.72,0.0,-0.09194381713867195
66.0,2000-04-19,9.68,9.8,9.51,9.66,17735250.0,1848000,967,9.844449,8.78,0.0,-0.18444904327392564
78.0,2000-05-12,8.66,8.82,8.66,8.74,4259323.0,487800,870,9.265964,9.26,0.525963554382324,0.0
83.0,2000-05-19,8.82,8.87,8.6,8.82,16314520.0,1872600,882,8.9210415,9.15,0.10104148864746065,0.0
84.0,2000-05-22,8.86,9.05,8.75,8.98,13900943.0,1566800,882,8.916885,9.18,-0.06311462402343793,0.0
86.0,2000-05-24,9.0,9.09,8.91,8.99,10262213.0,1139900,893,8.915687,9.43,-0.07431339263916037,0.0
89.0,2000-05-29,9.1,9.1,8.98,9.03,10775397.0,1193300,903,9.065121,9.25,0.035120697021485014,0.0
96.0,2000-06-07,9.36,9.75,9.15,9.66,52660892.0,5529200,929,10.025431,9.65,0.0,-0.3654306793212889
108.0,2000-06-23,9.15,9.2,9.1,9.19,6304104.0,689300,915,9.053479,10.15,-0.13652080535888622,0.0
118.0,2000-07-10,9.45,9.75,9.44,9.69,24303320.0,2519800,944,9.560062,10.92,-0.12993759155273388,0.0
130.0,2000-07-26,10.4,10.44,10.22,10.34,18030604.0,1749800,1036,9.831492,10.92,-0.5085075759887694,0.0
132.0,2000-07-28,10.41,10.85,10.41,10.75,69590136.0,6525500,1038,10.355196,11.08,-0.3948040008544922,0.0
142.0,2000-08-11,11.2,11.35,10.9,10.92,50814400.0,4577500,1116,10.915284,10.3,0.0,0.004715843200683523
144.0,2000-08-15,11.18,11.27,10.8,10.97,25796180.0,2336100,1110,10.771358,10.05,0.0,0.19864246368408267
145.0,2000-08-16,11.0,11.03,10.8,10.92,16184715.0,1488400,1097,10.7222595,9.63,0.0,0.19774047851562493
149.0,2000-08-22,11.38,11.45,11.0,11.0,32261038.0,2850300,1134,10.63644,10.26,0.0,0.3635597229003906
151.0,2000-08-24,10.85,10.85,10.5,10.71,18793392.0,1755100,1070,10.388472,10.02,0.0,0.32152839660644617
153.0,2000-08-28,11.0,11.36,11.0,11.24,38055444.0,3396400,1095,10.885574,9.8,0.0,0.3544256591796877
174.0,2000-09-26,9.21,9.4,9.21,9.3,2086553.0,224100,920,9.595846,9.73,0.2958461761474602,0.0
179.0,2000-10-10,9.3,9.52,9.27,9.48,3898971.0,413800,930,9.678725,9.66,0.19872524261474567,0.0
193.0,2000-10-30,9.8,9.94,9.71,9.86,14150492.0,1438700,960,9.688406,11.69,-0.1715940093994135,0.0
194.0,2000-10-31,9.92,9.92,9.61,9.66,7478786.0,769300,986,9.696787,11.7,0.03678688049316392,0.0
196.0,2000-11-02,9.73,9.75,9.63,9.69,5439150.0,561900,969,9.618883,10.86,-0.07111686706542919,0.0
197.0,2000-11-03,9.7,9.74,9.58,9.61,4517611.0,467900,969,9.57809,10.87,-0.03191028594970646,0.0
199.0,2000-11-08,9.9,10.88,9.81,10.88,33261506.0,3271700,990,9.943754,10.93,-0.9362458038330086,0.0
200.0,2000-11-09,10.51,11.37,10.38,11.11,139612992.0,12846000,1088,10.644919,10.8,0.0,0.4650806045532221
208.0,2000-11-21,12.02,12.12,11.66,11.69,47055960.0,3949400,1202,11.152765,10.5,0.0,0.5372347259521479
209.0,2000-11-22,11.71,11.82,11.48,11.7,36095616.0,3105600,1169,10.967062,10.64,0.0,0.7329380035400384
213.0,2000-11-28,10.88,11.06,10.88,11.03,13686383.0,1246900,1087,10.942431,10.59,0.0,0.08756855010986264
217.0,2000-12-04,10.94,11.08,10.8,11.08,9762216.0,890000,1095,10.584416,10.79,0.0,0.49558361053466804
221.0,2000-12-08,10.42,10.72,10.42,10.56,8055234.0,763000,1042,10.582167,10.67,0.02216667175292919,0.0
225.0,2000-12-14,10.64,10.68,10.42,10.45,4554933.0,432300,1064,10.356542,11.04,-0.09345836639404226,0.0
236.0,2000-12-29,10.8,10.8,10.61,10.67,3447070.0,323600,1057,9.729655,10.04,0.0,0.9403447341918945
246.0,2001-01-15,11.18,11.18,10.75,10.75,13355400.0,1223800,1119,10.530406,9.4,0.0,0.21959400177001953
252.0,2001-02-06,10.0,10.11,9.8,10.1,11224606.0,1127500,1004,9.960428,9.07,0.0,0.13957176208496058
253.0,2001-02-07,10.25,10.25,10.0,10.0,7534813.0,747000,1010,9.909362,8.94,0.0,0.0906381607055664
255.0,2001-02-09,9.5,9.8,9.5,9.65,8357916.0,866800,951,9.668822,8.88,0.0,-0.01882228851318324
256.0,2001-02-12,9.66,9.7,9.5,9.68,6456744.0,671200,965,9.834169,9.06,0.0,-0.1541693878173831
263.0,2001-02-28,9.42,9.46,9.31,9.36,4243763.0,453000,942,9.597417,10.1,0.2374168777465826,0.0
264.0,2001-03-01,9.36,9.42,9.35,9.41,3868101.0,412300,936,9.593738,10.2,0.18373760223388658,0.0
267.0,2001-03-06,9.2,9.2,9.05,9.07,11247394.0,1232700,925,9.611209,10.31,0.5412089157104489,0.0
269.0,2001-03-08,8.91,8.96,8.85,8.89,54280920.0,6103600,894,11.717522,10.15,2.827521667480468,0.0
270.0,2001-03-09,8.9,8.93,8.8,8.88,47396672.0,5356900,889,11.485043,10.17,2.6050425720214836,0.0
276.0,2001-03-19,10.04,10.2,9.93,10.14,68788104.0,6810700,1004,11.302496,10.44,1.1624959564208979,0.0
285.0,2001-03-30,10.15,10.2,10.03,10.17,23232250.0,2298600,1015,10.354946,10.0,0.0,-0.18494613647460945
